[2017-12-30 16:50:54:0661] | GigEVisionManager.cpp-L0272: driver mode start!
[2017-12-30 16:50:54:0661] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2017-12-30 16:50:54:0661] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:50:54:0662] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:50:54:0662] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe5d26], hostPort[51201], devIP[a9fe0f93]
[2017-12-30 16:50:54:0665] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe5d26], m_nUpDevIP[a9fe0f93]
[2017-12-30 16:50:54:0665] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:50:54:0674] | GigEVisionManager.cpp-L2790: event thread start...
[2017-12-30 16:50:54:0963] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:50:56:0939] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[2740]
[2017-12-30 16:51:47:0373] | GigEVisionManager.cpp-L2329: AppGetCount[155], AppGetCountSucceed[2], ExpectRecv[2], NetRecv[2], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2017-12-30 16:52:43:0962] | GigEVisionManager.cpp-L2329: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2017-12-30 16:52:43:0987] | GigEVisionManager.cpp-L2329: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2017-12-30 16:52:43:0987] | GigEVisionManager.cpp-L0901: disconnect device ...
[2017-12-30 16:52:44:0001] | GigEVisionManager.cpp-L2329: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2017-12-30 16:52:44:0001] | GigEVisionManager.cpp-L2728: SendRsdCmd thread stop
[2017-12-30 16:52:44:0064] | GigEVisionManager.cpp-L2861: event thread stop
[2017-12-30 16:52:44:0514] |   GigEVisionGVSP.cpp-L0422: [socket] NearBID[0], LastBID[0], output[0]
[2017-12-30 16:52:47:0300] | GigEVisionManager.cpp-L0272: driver mode start!
[2017-12-30 16:52:47:0300] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2017-12-30 16:52:47:0300] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:52:47:0300] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:52:47:0300] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe5d26], hostPort[51212], devIP[a9fe0f93]
[2017-12-30 16:52:47:0301] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe5d26], m_nUpDevIP[a9fe0f93]
[2017-12-30 16:52:47:0301] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:52:47:0314] | GigEVisionManager.cpp-L2790: event thread start...
[2017-12-30 16:52:47:0595] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:52:51:0446] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[4576]
[2017-12-30 16:53:26:0980] | GigEVisionManager.cpp-L2329: AppGetCount[196], AppGetCountSucceed[2], ExpectRecv[2], NetRecv[2], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2017-12-30 16:53:27:0004] | GigEVisionManager.cpp-L2329: AppGetCount[196], AppGetCountSucceed[2], ExpectRecv[2], NetRecv[2], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2017-12-30 16:53:27:0004] | GigEVisionManager.cpp-L0901: disconnect device ...
[2017-12-30 16:53:27:0009] | GigEVisionManager.cpp-L2861: event thread stop
[2017-12-30 16:53:27:0019] | GigEVisionManager.cpp-L2329: AppGetCount[196], AppGetCountSucceed[2], ExpectRecv[2], NetRecv[2], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2017-12-30 16:53:27:0019] | GigEVisionManager.cpp-L2728: SendRsdCmd thread stop
[2017-12-30 16:53:27:0429] |   GigEVisionGVSP.cpp-L0422: [socket] NearBID[0], LastBID[0], output[0]
[2017-12-30 16:55:59:0841] | GigEVisionManager.cpp-L0272: driver mode start!
[2017-12-30 16:55:59:0841] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2017-12-30 16:55:59:0841] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:55:59:0841] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:55:59:0841] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe5d26], hostPort[51678], devIP[a9fe0f93]
[2017-12-30 16:55:59:0842] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe5d26], m_nUpDevIP[a9fe0f93]
[2017-12-30 16:55:59:0842] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:55:59:0852] | GigEVisionManager.cpp-L2790: event thread start...
[2017-12-30 16:56:00:0152] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:56:14:0961] | GigEVisionManager.cpp-L0901: disconnect device ...
[2017-12-30 16:56:14:0976] | GigEVisionManager.cpp-L2329: AppGetCount[0], AppGetCountSucceed[0], ExpectRecv[0], NetRecv[0], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2017-12-30 16:56:15:0003] | GigEVisionManager.cpp-L2861: event thread stop
[2017-12-30 16:56:15:0960] |   GigEVisionGVSP.cpp-L0422: [socket] NearBID[0], LastBID[0], output[0]
[2017-12-30 16:59:52:0768] | GigEVisionManager.cpp-L0272: driver mode start!
[2017-12-30 16:59:52:0768] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2017-12-30 16:59:52:0768] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:59:52:0769] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:59:52:0769] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe5d26], hostPort[51692], devIP[a9fe0f93]
[2017-12-30 16:59:52:0770] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe5d26], m_nUpDevIP[a9fe0f93]
[2017-12-30 16:59:52:0770] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:59:52:0780] | GigEVisionManager.cpp-L2790: event thread start...
[2017-12-30 16:59:53:0043] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 16:59:54:0006] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[3336]
[2017-12-30 17:00:10:0709] | GigEVisionManager.cpp-L2329: AppGetCount[50], AppGetCountSucceed[1], ExpectRecv[1], NetRecv[1], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2017-12-30 17:00:10:0733] | GigEVisionManager.cpp-L2329: AppGetCount[50], AppGetCountSucceed[1], ExpectRecv[1], NetRecv[1], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2017-12-30 17:00:10:0733] | GigEVisionManager.cpp-L0901: disconnect device ...
[2017-12-30 17:00:10:0747] | GigEVisionManager.cpp-L2728: SendRsdCmd thread stop
[2017-12-30 17:00:10:0747] | GigEVisionManager.cpp-L2329: AppGetCount[50], AppGetCountSucceed[1], ExpectRecv[1], NetRecv[1], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
[2017-12-30 17:00:10:0759] | GigEVisionManager.cpp-L2861: event thread stop
[2017-12-30 17:00:11:0268] |   GigEVisionGVSP.cpp-L0422: [socket] NearBID[0], LastBID[0], output[0]
[2017-12-30 17:00:23:0937] | GigEVisionManager.cpp-L0272: driver mode start!
[2017-12-30 17:00:23:0937] | GigEVisionManager.cpp-L0309: Driver Mode [1]
[2017-12-30 17:00:23:0938] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 17:00:23:0938] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 17:00:23:0938] | GigEVisionManager.cpp-L0821: connecting device ... hostIP[a9fe5d26], hostPort[51705], devIP[a9fe0f93]
[2017-12-30 17:00:23:0939] | GigEVisionManager.cpp-L0572: m_nUpNetExport[a9fe5d26], m_nUpDevIP[a9fe0f93]
[2017-12-30 17:00:23:0939] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 17:00:23:0949] | GigEVisionManager.cpp-L2790: event thread start...
[2017-12-30 17:00:24:0211] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe5d26]
[2017-12-30 17:00:25:0337] | GigEVisionManager.cpp-L2682: GigE SendRsdCmdThread Start, ThreadId[5692]
[2017-12-30 17:01:14:0504] | GigEVisionManager.cpp-L2329: AppGetCount[65], AppGetCountSucceed[1], ExpectRecv[1], NetRecv[1], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[0], LostPackets[0]
